OID_,osm_id,code,fclass,name,POINT_X,POINT_Y,POINT_Z
23361,8992205027,2907,camera_surveillance, ,2.231006,48.8959831,0
23362,8992205028,2907,camera_surveillance, ,2.2308656,48.8955311,0
21204,7731594918,2541,car_dealership,Toyota,2.2283959,48.8953358,0
19515,6776938403,2906,waste_basket, ,2.2406095,48.8951788,0
20063,7178203286,2906,waste_basket, ,2.237814,48.8948399,0
5335,1854959700,2907,camera_surveillance, ,2.240865,48.8947978,0
21208,7731676839,2301,restaurant,Bib & Guss,2.2299835,48.894785,0
15896,5442713011,2902,bench, ,2.2419996,48.8947245,0
23978,9137670484,2701,tourist_info, ,2.2381455,48.8947038,0
15897,5442713012,2902,bench, ,2.2418397,48.8946795,0
464,442157566,2903,drinking_water, ,2.241902,48.8945869,0
21207,7731671068,2304,pub,Les gentlemen,2.2303412,48.8945481,0
23954,9136877173,2906,waste_basket, ,2.2380412,48.8944177,0
19583,6782689215,2906,waste_basket, ,2.2435686,48.8943655,0
23976,9137670482,2906,waste_basket, ,2.2378406,48.89436,0
3054,1188300026,2902,bench, ,2.2444136,48.8943446,0
16425,5543528832,2907,camera_surveillance, ,2.2275116,48.8943245,0
6055,2002489894,2907,camera_surveillance, ,2.237646,48.8943196,0
27,165738645,2302,fast_food,Big Fernand,2.2311932,48.8942633,0
2536,998633934,2907,camera_surveillance, ,2.2444985,48.8941774,0
5608,1930418882,2907,camera_surveillance, ,2.2358097,48.894141,0
23957,9136877177,2906,waste_basket, ,2.2383751,48.8940922,0
21209,7731678927,2304,pub,Mosai,2.2300277,48.8940787,0
5592,1930350789,2907,camera_surveillance, ,2.2394435,48.8940539,0
5400,1888048180,2907,camera_surveillance, ,2.240404,48.8940449,0
4920,1768798758,2906,waste_basket, ,2.2306215,48.8940066,0
23974,9137670480,2906,waste_basket, ,2.2382265,48.8940033,0
22125,8284069768,2701,tourist_info, ,2.2385745,48.8939027,0
815,596743752,2724,memorial,Monuments aux morts pour la France,2.2325309,48.893893,0
5806,1955807648,2907,camera_surveillance, ,2.238846,48.8938763,0
23972,9137670477,2906,waste_basket, ,2.2384219,48.8938226,0
17486,6009644601,2903,drinking_water, ,2.2308331,48.8938135,0
17485,6009644600,2906,waste_basket, ,2.2308623,48.8938047,0
20683,7437390233,2725,artwork,Slat,2.2355703,48.8936956,0
4059,1404732466,2004,post_box, ,2.2428399,48.8936799,0
5815,1956560539,2907,camera_surveillance, ,2.2417908,48.8936705,0
8835,2813297919,2906,waste_basket, ,2.2382196,48.8936518,0
8834,2813297917,2902,bench, ,2.2382313,48.8936443,0
5816,1956560579,2907,camera_surveillance, ,2.2419102,48.8936285,0
5902,1984263936,2907,camera_surveillance, ,2.2359922,48.8936183,0
8833,2813297910,2906,waste_basket, ,2.2383074,48.8936096,0
8832,2813297908,2902,bench, ,2.2382928,48.8936041,0
17483,6009644598,2906,waste_basket, ,2.2315315,48.8935933,0
5805,1955771883,2907,camera_surveillance, ,2.2398518,48.8935924,0
17484,6009644599,2906,waste_basket, ,2.23155,48.8935876,0
5411,1891366466,2907,camera_surveillance, ,2.2382819,48.8935653,0
8831,2813297800,2906,waste_basket, ,2.2381002,48.8935533,0
19582,6782689214,2907,camera_surveillance, ,2.2428307,48.8935479,0
8830,2813297799,2906,waste_basket, ,2.238123,48.8935392,0
5814,1956554617,2907,camera_surveillance, ,2.2432121,48.8935378,0
5813,1956554616,2907,camera_surveillance, ,2.243208,48.8935344,0
15460,5309090120,2902,bench, ,2.2318366,48.8934655,0
17482,6009644597,2906,waste_basket, ,2.2312802,48.8934607,0
17481,6009644596,2903,drinking_water, ,2.2312946,48.8934563,0
15459,5309090119,2902,bench, ,2.2318634,48.8934558,0
23356,8992199021,2907,camera_surveillance, ,2.2405599,48.8934544,0
5804,1955771881,2907,camera_surveillance, ,2.2396107,48.8934497,0
15458,5309090118,2902,bench, ,2.2318996,48.893447,0
8829,2813297787,2906,waste_basket, ,2.2380988,48.8934432,0
